file_name,tumor_type,seed_index,n_mit,n_pool,frac_on_nucleus,arm,lo_um,hi_um,retention_nominal,n_kept,n_tp,recall,depth_90,depth_95,depth_100
233.tiff,canine lung cancer,0,17,33221,0.4668432617922398,insample@0.95,4.252285575866699,18.746500396728514,0.95,30433,17,1.0,1275.0,17275.0,17275.0
233.tiff,canine lung cancer,0,17,33221,0.4668432617922398,lodo@0.95,3.963262927532197,15.015493750572142,0.95,29575,17,1.0,1233.0,16445.0,16445.0
233.tiff,canine lung cancer,1,17,33221,0.4668432617922398,baseline,-inf,inf,,33221,17,1.0,434.0,1328.0,1328.0
233.tiff,canine lung cancer,1,17,33221,0.4668432617922398,apriori,4.0,18.0,,30498,17,1.0,1277.0,17341.0,17341.0
233.tiff,canine lung cancer,1,17,33221,0.4668432617922398,insample@1.00,4.237545967102051,22.36345672607422,1.0,30993,17,1.0,423.0,1291.0,1291.0
233.tiff,canine lung cancer,1,17,33221,0.4668432617922398,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,33168,17,1.0,434.0,1328.0,1328.0
233.tiff,canine lung cancer,1,17,33221,0.4668432617922398,insample@0.99,4.240493888854981,21.64006546020508,0.99,30900,17,1.0,1286.0,17727.0,17727.0
233.tiff,canine lung cancer,1,17,33221,0.4668432617922398,lodo@0.99,2.823413163423538,24.682384529113353,0.99,32148,17,1.0,434.0,1321.0,1321.0
233.tiff,canine lung cancer,1,17,33221,0.4668432617922398,insample@0.98,4.24344181060791,20.916674194335936,0.98,30773,17,1.0,1283.0,17606.0,17606.0
233.tiff,canine lung cancer,1,17,33221,0.4668432617922398,lodo@0.98,3.6195910692214968,21.30833625793457,0.98,31319,17,1.0,1309.0,18138.0,18138.0
233.tiff,canine lung cancer,1,17,33221,0.4668432617922398,insample@0.95,4.252285575866699,18.746500396728514,0.95,30433,17,1.0,1275.0,17275.0,17275.0
233.tiff,canine lung cancer,1,17,33221,0.4668432617922398,lodo@0.95,3.963262927532197,15.015493750572142,0.95,29575,17,1.0,1233.0,16445.0,16445.0
233.tiff,canine lung cancer,2,17,20836,0.5548569783067767,baseline,-inf,inf,,20836,17,1.0,1191.0,1218.0,1218.0
233.tiff,canine lung cancer,2,17,20836,0.5548569783067767,apriori,4.0,18.0,,19182,16,0.9411764705882353,1181.0,,
